ensimmaisetnovellit/ensimmaisetnovellit_0000.wav|I. Siihen aikaan, kun isä lampun osti, sanoi hän äidille näinikään: --Äiti hoi, kuulehan,--|I. Siihen aikaan, kun isä lampun osti, sanoi hän äidille näinikään: --Äiti hoi, kuulehan,--|7.43
ensimmaisetnovellit/ensimmaisetnovellit_0001.wav|eiköhän ostettaisi lamppua meillekin --Mitä lamppua! --No, etkö sinä tiedä, että kirkonkylän kauppamies on Pietarista tuonut semmoisia|eiköhän ostettaisi lamppua meillekin --Mitä lamppua! --No, etkö sinä tiedä, että kirkonkylän kauppamies on Pietarista tuonut semmoisia|5.16
ensimmaisetnovellit/ensimmaisetnovellit_0002.wav|lamppuja, joista yksi näyttää enemmän kuin kymmenen pärettä.|lamppuja, joista yksi näyttää enemmän kuin kymmenen pärettä.|9.94
ensimmaisetnovellit/ensimmaisetnovellit_0003.wav|Jo ovat pappilaankin semmoisen ostaneet. --|Jo ovat pappilaankin semmoisen ostaneet. --|3.68
ensimmaisetnovellit/ensimmaisetnovellit_0004.wav|Onko se semmoinen, että, kun se keskellä huonetta palaa, näkee joka nurkassa lukea melkein kuin selvällä päivällä? --|Onko se semmoinen, että, kun se keskellä huonetta palaa, näkee joka nurkassa lukea melkein kuin selvällä päivällä? --|7.69
ensimmaisetnovellit/ensimmaisetnovellit_0005.wav|Se se on--ja siinä palaa öljy, eikä tarvitse muuta kuin sytyttää iltasella, niin se palaa sammumatta, vaikka aamuun asti polttakoon. --|Se se on--ja siinä palaa öljy, eikä tarvitse muuta kuin sytyttää iltasella, niin se palaa sammumatta, vaikka aamuun asti polttakoon. --|10.0
ensimmaisetnovellit/ensimmaisetnovellit_0006.wav|Mutta mitenkä se märkä öljy palaa? --No, mitenkäs viina palaa? --|Mutta mitenkä se märkä öljy palaa? --No, mitenkäs viina palaa? --|5.46
ensimmaisetnovellit/ensimmaisetnovellit_0007.wav|Mutta saattaisihan siitä tulla tulipalo koko taloon--kun viina syttyy palamaan, ei se sammu vedelläkään. --|Mutta saattaisihan siitä tulla tulipalo koko taloon--kun viina syttyy palamaan, ei se sammu vedelläkään. --|8.02
ensimmaisetnovellit/ensimmaisetnovellit_0008.wav|Eihän siitä mitenkä talo palamaan pääse, kun öljy on kiintonaisen lasin sisässä ja tuli on myöskin. --|Eihän siitä mitenkä talo palamaan pääse, kun öljy on kiintonaisen lasin sisässä ja tuli on myöskin. --|8.1
ensimmaisetnovellit/ensimmaisetnovellit_0009.wav|Lasin sisässä!--Mitenkä se tuli saattaa lasin sisässä olla--eikö se poksahda rikki? --Tuliko? --Ei, vaan lasipa. --|Lasin sisässä!--Mitenkä se tuli saattaa lasin sisässä olla--eikö se poksahda rikki? --Tuliko? --Ei, vaan lasipa. --|9.8
ensimmaisetnovellit/ensimmaisetnovellit_0010.wav|Poksahda rikki! Eikä poksahda--kyllä se saattaa poksahtaakin, jos tulta liian korkealle vääntää, mutta onko pakko vääntää. --|Poksahda rikki! Eikä poksahda--kyllä se saattaa poksahtaakin, jos tulta liian korkealle vääntää, mutta onko pakko vääntää. --|9.72
